Fecha,Número de Vendedor,Número de cliente,Tipo,Departamento - Clave,Familia - Clave,Familia,Ventas Netas (Q),Costo,Año,Mes,Ventas Netas (USD),Costo (USD)
2015-01-01,7.0,66.0,Real,0021,328,TRATAMIENTO DE CONCRETO,31740.12,22046.54,2015,1,4232.016,2939.538666666667
2015-01-01,5.0,45.0,Real,0021,370,PINTURAS DECORATIVAS,2377.3,1761.3500000000001,2015,1,316.97333333333336,234.8466666666667
2015-01-01,8.0,75.0,Real,0021,371,BARNICES ARQUITECTÓNICOS,20422.48,13189.05,2015,1,2722.9973333333332,1758.54
2015-01-01,6.0,57.0,Real,0021,372,PINTURA AUTOMOTRIZ,719.8,668.4,2015,1,95.97333333333333,89.11999999999999
2015-01-01,7.0,62.0,Real,0021,376,TINTES PARA MADERA,15589.78,10835.03,2015,1,2078.6373333333336,1444.6706666666666
2015-01-01,2.0,20.0,Real,0021,751,"BROCHAS, RODILLOS Y BANDEJAS",216456.68,116269.20999999999,2015,1,28860.890666666666,15502.561333333333
2015-01-01,5.0,48.0,Real,0021,755,PINTURAS ARQUITECTÓNICAS,1729340.26,1253315.52,2015,1,230578.70133333333,167108.736
2015-01-01,1.0,46.0,Real,0021,756,"PINTURAS INDUSTRIALES, PROTECTORAS Y MA",329611.52,238980.14,2015,1,43948.20266666667,31864.018666666667
2015-01-01,1.0,14.0,Real,0021,757,ACABADOS PARA MADERA,90160.44,64186.48,2015,1,12021.392,8558.197333333334
2015-01-01,8.0,77.0,Real,0021,758,PINTURA EN SPRAY,158072.48,84473.02,2015,1,21076.33066666667,11263.069333333335
2015-01-01,6.0,51.0,Real,0021,759,PREPARADORES DE SUPERFICIE ARQUITECTÓNI,114181.26,80830.87,2015,1,15224.168,10777.449333333332
2015-01-01,1.0,74.0,Real,0021,760,DECORACIÓN,10790.87,10033.570000000002,2015,1,1438.7826666666667,1337.8093333333336
2015-01-01,5.0,50.0,Real,0021,762,HERRAMIENTAS Y ACCESORIOS PARA PINTAR,255852.73,145892.06,2015,1,34113.69733333334,19452.274666666668
2015-01-01,1.0,74.0,Real,0022,303,PLACAS Y MECANISMOS ELECTRICOS,170928.0,94795.76,2015,1,22790.4,12639.434666666666
2015-01-01,1.0,4.0,Real,0022,949,LINTERNAS,253595.86,144972.00999999998,2015,1,33812.78133333333,19329.601333333332
2015-01-01,1.0,74.0,Real,0022,950,BATERIAS Y CARGADORES,310133.01,187987.69,2015,1,41351.068,25065.025333333335
2015-01-01,1.0,68.0,Real,0022,951,ILUMINACIÓN,1941116.85,1171062.08,2015,1,258815.58000000002,156141.61066666667
2015-01-01,3.0,21.0,Real,0022,952,LAMPARAS,118110.71,62182.14000000001,2015,1,15748.094666666668,8290.952000000001
2015-01-01,2.0,11.0,Real,0022,953,EXTENSIONES Y PROTECTORES DE CORRIENTE,412632.49,225308.93,2015,1,55017.66533333333,30041.190666666665
2015-01-01,1.0,6.0,Real,0022,954,CABLES/ALAMBRES,108779.77,64191.4,2015,1,14503.969333333334,8558.853333333334
2015-01-01,6.0,58.0,Real,0022,955,ACCESORIOS PARA CABLES/ALAMBRES,103799.65,44783.45,2015,1,13839.953333333333,5971.126666666666
2015-01-01,1.0,68.0,Real,0022,956,"ESPIGAS, TOMAS DE PENDULO Y COVERTIDORE",38352.95,20149.709999999995,2015,1,5113.7266666666665,2686.6279999999992
